地點,開始時間,結束時間,平均溫度,最高溫度,最低溫度,降雨機率(%),天氣現象,天氣代碼
連江縣,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,15,15,14,0,晴時多雲,02
連江縣,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,14,14,14,10,晴時多雲,02
連江縣,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,15,16,14,30,多雲時陰短暫雨,09
連江縣,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,15,15,14,10,陰時多雲,06
連江縣,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,17,18,14,0,晴時多雲,02
連江縣,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,16,17,16,0,晴時多雲,02
連江縣,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,18,20,16,0,晴時多雲,02
連江縣,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,17,17,16,0,晴時多雲,02
連江縣,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,17,18,16,0,陰天,07
連江縣,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,15,16,15,0,多雲,04
連江縣,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,16,18,15,0,多雲,04
連江縣,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,15,16,15,0,陰時多雲,06
連江縣,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,18,20,15,0,多雲時陰,05
連江縣,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,17,17,16,0,晴時多雲,02
金門縣,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,17,19,15,0,晴時多雲,02
金門縣,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,15,15,14,10,晴時多雲,02
金門縣,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,17,20,14,10,晴時多雲,02
金門縣,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,15,16,15,10,晴時多雲,02
金門縣,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,18,21,15,0,晴時多雲,02
金門縣,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,16,17,16,0,晴時多雲,02
金門縣,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,20,23,16,0,晴時多雲,02
金門縣,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,17,19,16,0,晴時多雲,02
金門縣,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,19,22,16,0,晴時多雲,02
金門縣,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,17,18,16,0,晴時多雲,02
金門縣,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,18,21,16,0,晴時多雲,02
金門縣,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,16,17,16,0,晴時多雲,02
金門縣,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,20,23,16,0,晴時多雲,02
金門縣,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,18,19,17,0,晴時多雲,02
宜蘭縣,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,18,18,17,50,陰短暫雨,11
宜蘭縣,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,17,17,17,50,陰短暫雨,11
宜蘭縣,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,17,18,17,70,陰短暫雨,11
宜蘭縣,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,17,18,17,70,陰短暫雨,11
宜蘭縣,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,20,22,17,30,多雲時陰短暫雨,09
宜蘭縣,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,19,20,18,50,多雲時陰短暫雨,09
宜蘭縣,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,22,25,18,0,多雲時陰短暫雨,09
宜蘭縣,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,19,21,18,0,多雲時陰短暫雨,09
宜蘭縣,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,20,21,18,0,陰短暫雨,11
宜蘭縣,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,19,19,18,0,陰短暫雨,11
宜蘭縣,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,20,21,18,0,陰時多雲短暫雨,10
宜蘭縣,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,19,19,18,0,多雲短暫雨,08
宜蘭縣,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,21,24,18,0,晴時多雲,02
宜蘭縣,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,19,21,18,0,多雲,04
新竹縣,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,20,21,18,10,晴時多雲,02
新竹縣,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,18,18,17,10,晴時多雲,02
新竹縣,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,19,21,17,10,晴時多雲,02
新竹縣,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,18,19,17,10,晴時多雲,02
新竹縣,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,21,24,17,0,晴時多雲,02
新竹縣,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,18,20,17,0,晴時多雲,02
新竹縣,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,23,26,17,0,晴時多雲,02
新竹縣,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,19,21,18,0,晴時多雲,02
新竹縣,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,20,22,18,0,晴時多雲,02
新竹縣,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,19,20,18,0,晴時多雲,02
新竹縣,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,21,23,18,0,晴時多雲,02
新竹縣,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,18,19,17,0,晴時多雲,02
新竹縣,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,22,25,17,0,晴時多雲,02
新竹縣,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,19,20,18,0,晴時多雲,02
苗栗縣,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,20,22,18,10,晴時多雲,02
苗栗縣,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,16,18,15,10,晴時多雲,02
苗栗縣,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,19,22,15,10,晴時多雲,02
苗栗縣,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,17,18,16,10,晴時多雲,02
苗栗縣,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,20,24,15,0,晴時多雲,02
苗栗縣,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,17,19,15,0,晴時多雲,02
苗栗縣,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,22,26,15,0,晴時多雲,02
苗栗縣,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,18,21,16,0,晴時多雲,02
苗栗縣,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,20,23,16,0,多雲時晴,03
苗栗縣,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,18,20,17,0,晴時多雲,02
苗栗縣,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,21,24,17,0,晴時多雲,02
苗栗縣,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,18,20,16,0,晴時多雲,02
苗栗縣,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,21,25,16,0,晴時多雲,02
苗栗縣,2025-12-10T18:00:00+08:00,2025-12-11T06:00:00+08:00,18,20,17,0,晴時多雲,02
彰化縣,2025-12-04T12:00:00+08:00,2025-12-04T18:00:00+08:00,22,24,20,0,晴時多雲,02
彰化縣,2025-12-04T18:00:00+08:00,2025-12-05T06:00:00+08:00,18,20,17,10,晴時多雲,02
彰化縣,2025-12-05T06:00:00+08:00,2025-12-05T18:00:00+08:00,21,23,17,10,晴時多雲,02
彰化縣,2025-12-05T18:00:00+08:00,2025-12-06T06:00:00+08:00,18,20,17,10,晴時多雲,02
彰化縣,2025-12-06T06:00:00+08:00,2025-12-06T18:00:00+08:00,21,25,17,0,晴時多雲,02
彰化縣,2025-12-06T18:00:00+08:00,2025-12-07T06:00:00+08:00,18,20,17,0,晴時多雲,02
彰化縣,2025-12-07T06:00:00+08:00,2025-12-07T18:00:00+08:00,22,26,17,0,晴時多雲,02
彰化縣,2025-12-07T18:00:00+08:00,2025-12-08T06:00:00+08:00,19,21,18,0,晴時多雲,02
彰化縣,2025-12-08T06:00:00+08:00,2025-12-08T18:00:00+08:00,22,24,18,0,晴時多雲,02
彰化縣,2025-12-08T18:00:00+08:00,2025-12-09T06:00:00+08:00,19,21,18,0,晴時多雲,02
彰化縣,2025-12-09T06:00:00+08:00,2025-12-09T18:00:00+08:00,22,24,18,0,晴時多雲,02
彰化縣,2025-12-09T18:00:00+08:00,2025-12-10T06:00:00+08:00,19,21,18,0,晴時多雲,02
彰化縣,2025-12-10T06:00:00+08:00,2025-12-10T18:00:00+08:00,22,25,18,0,晴時多雲,02
